#=============================================================================#
#          dieharder version 3.29.5beta Copyright 2003 Robert G. Brown        #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
           kiss|  1.51e+08  |3755503523|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|    2000|0.27369951|  PASSED  
      diehard_operm5|   5|   1000000|    2000|0.00000000|  FAILED  
  diehard_rank_32x32|   0|     40000|    2000|0.94645631|  PASSED  
    diehard_rank_6x8|   0|    100000|    2000|0.21664132|  PASSED  
   diehard_bitstream|   0|   2097152|    2000|0.30317124|  PASSED  
        diehard_opso|   0|   2097152|    2000|0.77054927|  PASSED  
        diehard_oqso|   0|   2097152|    2000|0.14920135|  PASSED  
         diehard_dna|   0|   2097152|    2000|0.00010696|   WEAK   
diehard_count_1s_str|   0|    256000|    2000|0.18095962|  PASSED  
diehard_count_1s_byt|   0|    256000|    2000|0.75998385|  PASSED  
 diehard_parking_lot|   0|     12000|    2000|0.09610425|  PASSED  
    diehard_2dsphere|   2|      8000|    2000|0.62467236|  PASSED  
    diehard_3dsphere|   3|      4000|    2000|0.00838263|  PASSED  
     diehard_squeeze|   0|    100000|    2000|0.27630062|  PASSED  
        diehard_sums|   0|       100|    2000|0.00000000|  FAILED  
        diehard_runs|   0|    100000|    2000|0.47205520|  PASSED  
        diehard_runs|   0|    100000|    2000|0.61836834|  PASSED  
       diehard_craps|   0|    200000|    2000|0.78926015|  PASSED  
       diehard_craps|   0|    200000|    2000|0.52035197|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|    2000|0.68967167|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|    2000|0.98968899|  PASSED  
         sts_monobit|   1|    100000|    2000|0.69015564|  PASSED  
            sts_runs|   2|    100000|    2000|0.70903360|  PASSED  
          sts_serial|   1|    100000|    2000|0.77651960|  PASSED  
          sts_serial|   2|    100000|    2000|0.80852048|  PASSED  
          sts_serial|   3|    100000|    2000|0.33957728|  PASSED  
          sts_serial|   3|    100000|    2000|0.38403539|  PASSED  
          sts_serial|   4|    100000|    2000|0.73981276|  PASSED  
          sts_serial|   4|    100000|    2000|0.70987235|  PASSED  
          sts_serial|   5|    100000|    2000|0.58858514|  PASSED  
          sts_serial|   5|    100000|    2000|0.97477897|  PASSED  
          sts_serial|   6|    100000|    2000|0.80554806|  PASSED  
          sts_serial|   6|    100000|    2000|0.68382921|  PASSED  
          sts_serial|   7|    100000|    2000|0.91743138|  PASSED  
          sts_serial|   7|    100000|    2000|0.59557813|  PASSED  
          sts_serial|   8|    100000|    2000|0.97799979|  PASSED  
          sts_serial|   8|    100000|    2000|0.41801002|  PASSED  
          sts_serial|   9|    100000|    2000|0.21467576|  PASSED  
          sts_serial|   9|    100000|    2000|0.14529355|  PASSED  
          sts_serial|  10|    100000|    2000|0.80776774|  PASSED  
          sts_serial|  10|    100000|    2000|0.44132799|  PASSED  
          sts_serial|  11|    100000|    2000|0.44964046|  PASSED  
          sts_serial|  11|    100000|    2000|0.42700247|  PASSED  
