#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
         wyrand|  8.44e+07  |2518785503|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.69491755|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.73089065|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.87303799|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.72588268|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99595746|   WEAK   
        diehard_opso|   0|   2097152|     100|0.92562142|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.15579508|  PASSED  
         diehard_dna|   0|   2097152|     100|0.18377538|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.15580971|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.99871869|   WEAK   
 diehard_parking_lot|   0|     12000|     100|0.43004782|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.32543435|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.96940365|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.14584261|  PASSED  
        diehard_sums|   0|       100|     100|0.02623723|  PASSED  
        diehard_runs|   0|    100000|     100|0.38115411|  PASSED  
        diehard_runs|   0|    100000|     100|0.67083375|  PASSED  
       diehard_craps|   0|    200000|     100|0.45925457|  PASSED  
       diehard_craps|   0|    200000|     100|0.73052899|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.65209326|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.24530613|  PASSED  
         sts_monobit|   1|    100000|     100|0.61235698|  PASSED  
            sts_runs|   2|    100000|     100|0.78668471|  PASSED  
          sts_serial|   1|    100000|     100|0.68665507|  PASSED  
          sts_serial|   2|    100000|     100|0.66823957|  PASSED  
          sts_serial|   3|    100000|     100|0.98000211|  PASSED  
          sts_serial|   3|    100000|     100|0.72791548|  PASSED  
          sts_serial|   4|    100000|     100|0.95262723|  PASSED  
          sts_serial|   4|    100000|     100|0.99981177|   WEAK   
          sts_serial|   5|    100000|     100|0.91016393|  PASSED  
          sts_serial|   5|    100000|     100|0.53851087|  PASSED  
          sts_serial|   6|    100000|     100|0.99839667|   WEAK   
          sts_serial|   6|    100000|     100|0.50115224|  PASSED  
          sts_serial|   7|    100000|     100|0.48113883|  PASSED  
          sts_serial|   7|    100000|     100|0.45558478|  PASSED  
          sts_serial|   8|    100000|     100|0.26603264|  PASSED  
          sts_serial|   8|    100000|     100|0.46028627|  PASSED  
          sts_serial|   9|    100000|     100|0.42840117|  PASSED  
          sts_serial|   9|    100000|     100|0.78734016|  PASSED  
          sts_serial|  10|    100000|     100|0.75644058|  PASSED  
          sts_serial|  10|    100000|     100|0.62456614|  PASSED  
          sts_serial|  11|    100000|     100|0.56506883|  PASSED  
          sts_serial|  11|    100000|     100|0.97043539|  PASSED  
          sts_serial|  12|    100000|     100|0.37062115|  PASSED  
          sts_serial|  12|    100000|     100|0.71090444|  PASSED  
          sts_serial|  13|    100000|     100|0.03665200|  PASSED  
          sts_serial|  13|    100000|     100|0.50902149|  PASSED  
          sts_serial|  14|    100000|     100|0.22571688|  PASSED  
          sts_serial|  14|    100000|     100|0.54277188|  PASSED  
          sts_serial|  15|    100000|     100|0.52182229|  PASSED  
          sts_serial|  15|    100000|     100|0.39565863|  PASSED  
          sts_serial|  16|    100000|     100|0.67313353|  PASSED  
          sts_serial|  16|    100000|     100|0.95900909|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.90405480|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.59114254|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.56606791|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.99978463|   WEAK   
         rgb_bitdist|   5|    100000|     100|0.59319400|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.26648792|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.65635230|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.55356091|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.29263149|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.53731265|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.74518221|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.61245708|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.00406311|   WEAK   
rgb_minimum_distance|   3|     10000|    1000|0.66749782|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.56171826|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.92378888|  PASSED  
    rgb_permutations|   2|    100000|     100|0.07895652|  PASSED  
    rgb_permutations|   3|    100000|     100|0.63015752|  PASSED  
    rgb_permutations|   4|    100000|     100|0.05156280|  PASSED  
    rgb_permutations|   5|    100000|     100|0.44055475|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.64353721|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.64836965|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.96782512|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.83833972|  PASSED  
