#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
 xoroshiro128**|  2.39e+08  | 598599224|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.00000000|  FAILED  
      diehard_operm5|   0|   1000000|     100|0.55659295|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.75602144|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED  
   diehard_bitstream|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED  
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED  
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED  
diehard_count_1s_str|   0|    256000|     100|0.00000000|  FAILED  
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED  
 diehard_parking_lot|   0|     12000|     100|0.12997576|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.01349715|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.30026594|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.82596625|  PASSED  
        diehard_sums|   0|       100|     100|0.12733014|  PASSED  
        diehard_runs|   0|    100000|     100|0.95137599|  PASSED  
        diehard_runs|   0|    100000|     100|0.04389312|  PASSED  
       diehard_craps|   0|    200000|     100|0.63862533|  PASSED  
       diehard_craps|   0|    200000|     100|0.18072295|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED  
         sts_monobit|   1|    100000|     100|0.00000000|  FAILED  
            sts_runs|   2|    100000|     100|0.00000000|  FAILED  
          sts_serial|   1|    100000|     100|0.00000000|  FAILED  
          sts_serial|   2|    100000|     100|0.00000000|  FAILED  
          sts_serial|   3|    100000|     100|0.00000000|  FAILED  
          sts_serial|   3|    100000|     100|0.00000000|  FAILED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   4|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   5|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   6|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   7|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   8|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|   9|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  10|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  11|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  12|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  13|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  14|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  15|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
          sts_serial|  16|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   1|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   2|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   3|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   4|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   5|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   6|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   7|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   8|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|   9|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|  10|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|  11|    100000|     100|0.00000000|  FAILED  
         rgb_bitdist|  12|    100000|     100|0.00000000|  FAILED  
rgb_minimum_distance|   2|     10000|    1000|0.31800180|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.47948927|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.25339232|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.02889752|  PASSED  
    rgb_permutations|   2|    100000|     100|0.02907878|  PASSED  
    rgb_permutations|   3|    100000|     100|0.66685282|  PASSED  
    rgb_permutations|   4|    100000|     100|0.91631843|  PASSED  
    rgb_permutations|   5|    100000|     100|0.80863526|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.98282960|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.41700699|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.94005950|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.86870111|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.97531471|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.98358287|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.15142147|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.72434023|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.97634379|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.31790573|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.93269784|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.66358074|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.37823323|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.55575364|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.11404576|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.75362257|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.63646409|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.94565384|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.85582626|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.68147766|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.64551264|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.88548580|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.64803912|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.82981706|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.86719358|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.98891652|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.61439512|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.25915403|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.67579304|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.52509804|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.48046662|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.91512583|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.71976225|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.24265573|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.00000000|  FAILED  
             dab_dct| 256|     50000|       1|0.00000000|  FAILED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
        dab_filltree|  32|  15000000|       1|0.00000000|  FAILED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.00000000|  FAILED  
       dab_filltree2|   1|   5000000|       1|0.00000000|  FAILED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|1.00000000|  FAILED  
Preparing to run test 210.  ntuple = 0
