#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
  xoroshiro64**|  2.78e+08  |2793163310|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.12940460|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.80043604|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.09749289|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.18079985|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99210069|  PASSED  
        diehard_opso|   0|   2097152|     100|0.24489251|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.70792758|  PASSED  
         diehard_dna|   0|   2097152|     100|0.43211482|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.41138008|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.92039429|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.77490362|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.15297052|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.61906467|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.94985011|  PASSED  
        diehard_sums|   0|       100|     100|0.48520014|  PASSED  
        diehard_runs|   0|    100000|     100|0.39531543|  PASSED  
        diehard_runs|   0|    100000|     100|0.68257554|  PASSED  
       diehard_craps|   0|    200000|     100|0.22724798|  PASSED  
       diehard_craps|   0|    200000|     100|0.87495191|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.26155267|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.91053676|  PASSED  
         sts_monobit|   1|    100000|     100|0.76283884|  PASSED  
            sts_runs|   2|    100000|     100|0.42171637|  PASSED  
          sts_serial|   1|    100000|     100|0.49004598|  PASSED  
          sts_serial|   2|    100000|     100|0.08720747|  PASSED  
          sts_serial|   3|    100000|     100|0.07247256|  PASSED  
          sts_serial|   3|    100000|     100|0.99256766|  PASSED  
          sts_serial|   4|    100000|     100|0.02953120|  PASSED  
          sts_serial|   4|    100000|     100|0.75683280|  PASSED  
          sts_serial|   5|    100000|     100|0.32428490|  PASSED  
          sts_serial|   5|    100000|     100|0.26262047|  PASSED  
          sts_serial|   6|    100000|     100|0.37314626|  PASSED  
          sts_serial|   6|    100000|     100|0.24298210|  PASSED  
          sts_serial|   7|    100000|     100|0.68718793|  PASSED  
          sts_serial|   7|    100000|     100|0.10153715|  PASSED  
          sts_serial|   8|    100000|     100|0.92481408|  PASSED  
          sts_serial|   8|    100000|     100|0.39506478|  PASSED  
          sts_serial|   9|    100000|     100|0.53171077|  PASSED  
          sts_serial|   9|    100000|     100|0.50781166|  PASSED  
          sts_serial|  10|    100000|     100|0.44763767|  PASSED  
          sts_serial|  10|    100000|     100|0.50861753|  PASSED  
          sts_serial|  11|    100000|     100|0.61564861|  PASSED  
          sts_serial|  11|    100000|     100|0.20080777|  PASSED  
          sts_serial|  12|    100000|     100|0.51609481|  PASSED  
          sts_serial|  12|    100000|     100|0.36194669|  PASSED  
          sts_serial|  13|    100000|     100|0.62341157|  PASSED  
          sts_serial|  13|    100000|     100|0.18204295|  PASSED  
          sts_serial|  14|    100000|     100|0.75950849|  PASSED  
          sts_serial|  14|    100000|     100|0.22045301|  PASSED  
          sts_serial|  15|    100000|     100|0.80693838|  PASSED  
          sts_serial|  15|    100000|     100|0.34110248|  PASSED  
          sts_serial|  16|    100000|     100|0.53557561|  PASSED  
