#=============================================================================#
#            dieharder version 3.31.2 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
    xoshiro128+|  2.74e+08  | 490981018|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.65358441|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.10345573|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.99784527|   WEAK   
    diehard_rank_6x8|   0|    100000|     100|0.24792998|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.65518315|  PASSED  
        diehard_opso|   0|   2097152|     100|0.15613797|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.68330285|  PASSED  
         diehard_dna|   0|   2097152|     100|0.62559933|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.39825941|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.73190933|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.40756286|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.71280193|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.11577559|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.54422741|  PASSED  
        diehard_sums|   0|       100|     100|0.00440408|   WEAK   
        diehard_runs|   0|    100000|     100|0.45628977|  PASSED  
        diehard_runs|   0|    100000|     100|0.65635877|  PASSED  
       diehard_craps|   0|    200000|     100|0.74767183|  PASSED  
       diehard_craps|   0|    200000|     100|0.42599182|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.69762362|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.14467183|  PASSED  
         sts_monobit|   1|    100000|     100|0.11781916|  PASSED  
            sts_runs|   2|    100000|     100|0.82027166|  PASSED  
          sts_serial|   1|    100000|     100|0.23410752|  PASSED  
          sts_serial|   2|    100000|     100|0.00583886|  PASSED  
          sts_serial|   3|    100000|     100|0.00977535|  PASSED  
          sts_serial|   3|    100000|     100|0.21829948|  PASSED  
          sts_serial|   4|    100000|     100|0.12367742|  PASSED  
          sts_serial|   4|    100000|     100|0.92760724|  PASSED  
          sts_serial|   5|    100000|     100|0.68897801|  PASSED  
          sts_serial|   5|    100000|     100|0.13372619|  PASSED  
          sts_serial|   6|    100000|     100|0.78195790|  PASSED  
          sts_serial|   6|    100000|     100|0.49264434|  PASSED  
